time,lane1,lane2,lane3,lane4,lane5,lane6,lane7
2.667,0,0,1,0,0,0,0
3.333,0,1,0,1,0,0,0
4.000,1,1,0,1,1,0,0
4.667,0,0,1,1,1,0,0
5.083,1,0,0,0,0,0,0
5.333,1,1,0,0,0,0,0
6.000,1,1,1,0,0,0,0
6.667,0,0,0,1,1,0,0
7.333,0,0,1,1,1,0,0
8.667,0,1,0,0,0,0,0
9.333,1,0,1,0,0,0,0
10.000,0,1,0,1,1,0,0
10.667,0,0,0,0,0,0,1
13.333,1,0,1,1,0,0,0
14.000,1,1,0,0,0,0,0
14.667,0,0,1,1,1,0,0
15.333,0,0,0,0,0,1,0
16.000,0,0,0,0,0,1,0
16.667,1,1,0,0,0,0,0
17.333,0,0,1,0,0,0,0
18.000,0,1,0,1,0,0,0
18.667,1,0,1,0,1,0,0
19.333,0,1,0,1,0,0,0
20.000,0,0,1,0,0,0,0
21.667,1,1,0,1,1,0,0
22.333,0,0,1,0,0,0,0
23.000,1,1,1,0,0,0,0
23.667,0,0,1,1,1,0,0
24.333,1,1,1,0,0,0,0
25.000,0,0,1,1,1,0,0
25.667,1,1,1,0,0,0,0
26.333,0,0,0,1,0,0,0
27.000,0,0,1,0,1,0,0
27.667,0,1,0,1,0,0,0
28.333,1,0,1,0,1,0,0
29.000,0,1,0,1,0,0,0
29.667,1,0,1,0,0,0,0
30.333,1,1,0,0,0,0,0
31.000,0,1,1,0,0,0,0
31.667,0,0,1,1,0,0,0
32.333,0,0,0,0,1,0,0
33.000,0,0,1,1,0,0,0
33.667,0,1,1,0,0,0,0
34.250,1,0,0,0,0,0,0
34.333,1,0,0,0,0,0,0
34.667,1,1,0,0,0,0,0
35.333,0,1,1,0,0,0,0
36.000,0,0,1,1,0,0,0
36.667,0,0,0,0,1,0,0
37.333,0,0,0,1,1,0,0
38.000,0,0,1,1,0,0,0
