time,lane1,lane2,lane3,lane4,lane5,lane6,lane7
0.615,1,0,1,0,1,0,0
1.231,0,1,0,1,0,0,0
1.846,1,0,1,0,1,0,0
2.462,0,1,0,1,0,0,0
3.077,1,0,1,0,1,0,0
3.692,0,1,0,1,0,0,0
5.538,0,1,1,1,0,0,0
6.154,1,0,0,0,1,0,0
6.769,1,1,0,1,1,0,0
7.385,1,1,1,0,0,0,0
8.000,0,0,0,1,1,0,0
8.615,0,0,1,1,1,0,0
9.231,1,1,0,0,0,0,0
9.846,1,1,1,0,0,0,0
11.077,0,1,1,1,0,0,0
11.692,1,1,0,1,1,0,0
12.923,0,1,1,1,0,0,0
13.538,1,1,0,1,1,0,0
14.462,0,0,1,0,0,0,0
15.077,0,1,0,1,0,0,0
15.692,1,0,1,0,1,0,0
17.538,1,1,0,1,1,0,0
17.846,0,0,1,0,0,0,0
18.154,0,1,0,1,0,0,0
19.692,1,0,1,0,1,0,0
20.308,0,1,0,1,0,0,0
20.923,1,0,1,0,1,0,0
21.538,0,1,0,1,0,0,0
22.154,1,0,1,1,1,0,0
22.769,1,1,0,1,1,0,0
23.385,1,1,1,0,1,0,0
24.308,1,1,0,1,0,0,0
24.923,0,0,1,0,1,0,0
25.538,0,1,0,1,1,0,0
26.154,1,0,1,1,1,0,0
26.769,1,1,0,1,1,0,0
27.385,0,0,1,0,0,0,0
28.000,0,1,0,1,0,0,0
28.615,1,0,1,0,1,0,0
29.538,0,1,0,1,1,0,0
30.154,1,0,1,0,0,0,0
30.769,0,1,1,1,0,0,0
31.385,1,0,1,0,1,0,0
32.000,1,1,0,1,1,0,0
32.615,0,0,1,0,0,0,0
33.231,0,1,1,1,0,0,0
33.846,1,0,0,0,1,0,0
34.154,0,1,0,1,0,0,0
34.769,1,0,1,0,1,0,0
35.385,0,1,0,1,0,0,0
36.000,1,0,1,0,1,0,0
36.615,0,1,0,1,0,0,0
37.231,1,0,1,0,1,0,0
37.846,0,1,0,1,0,0,0
38.462,1,0,1,0,1,0,0
39.077,0,1,1,1,0,0,0
39.385,1,0,0,0,1,0,0
40.308,0,1,0,1,0,0,0
40.923,1,0,1,0,1,0,0
41.538,0,1,0,1,0,0,0
42.154,0,1,1,1,0,0,0
42.769,1,0,0,0,1,0,0
43.385,0,1,0,1,0,0,0
44.000,1,0,1,0,1,0,0
44.615,1,1,1,0,0,0,0
45.231,0,0,0,1,1,0,0
45.846,0,0,1,1,1,0,0
46.462,1,1,0,0,0,0,0
47.077,1,1,1,0,0,0,0
47.692,0,0,0,1,1,0,0
49.231,0,0,1,0,0,0,0
49.538,0,1,0,0,0,0,0
49.846,1,0,1,0,1,0,0
50.154,0,1,0,1,0,0,0
50.462,0,0,1,0,0,0,0
50.769,1,0,0,0,0,0,0
51.077,0,0,0,0,1,0,0
51.385,0,1,1,1,0,0,0
51.692,1,0,0,0,1,0,0
52.000,0,1,0,0,0,0,0
52.308,0,0,0,1,0,0,0
52.615,0,0,1,0,0,0,0
53.231,0,1,0,1,0,0,0
53.538,0,0,1,0,0,0,0
53.846,1,1,0,1,1,0,0
54.462,0,0,1,0,0,0,0
54.769,0,1,0,0,0,0,0
55.077,0,0,1,1,0,0,0
55.385,1,1,0,0,1,0,0
55.692,0,0,0,1,1,0,0
56.000,0,0,1,0,0,0,0
56.308,0,1,0,0,0,0,0
56.615,0,0,0,1,0,0,0
57.231,0,0,1,0,1,0,0
