time,lane1,lane2,lane3,lane4,lane5,lane6,lane7
0.000,0,0,1,0,0,0,0
0.615,1,1,0,1,1,0,0
1.231,1,1,1,1,0,0,0
1.846,0,0,0,1,1,0,0
2.154,1,1,1,0,0,0,0
2.462,0,0,0,1,1,0,0
3.077,0,0,1,1,1,0,0
3.692,1,1,1,0,0,0,0
4.308,0,0,1,1,1,0,0
4.923,0,1,1,1,1,0,0
5.538,1,0,1,1,1,0,0
6.154,1,1,0,1,1,0,0
6.769,1,1,1,0,1,0,0
7.385,1,1,1,1,0,0,0
8.000,1,1,1,0,1,0,0
8.615,1,1,1,1,0,0,0
9.231,1,1,1,0,1,0,0
9.846,1,1,0,1,1,0,0
11.077,1,0,1,0,1,0,0
12.308,1,1,0,1,1,0,0
13.538,1,0,1,0,1,0,0
14.769,0,1,1,1,0,0,0
16.000,1,0,1,0,1,0,0
17.538,1,1,0,1,1,0,0
17.846,1,0,1,0,1,0,0
18.154,0,1,0,1,0,0,0
18.462,1,0,1,0,1,0,0
18.769,1,1,0,1,1,0,0
19.692,1,0,1,0,1,0,0
20.000,0,1,1,1,0,0,0
20.308,1,0,0,0,1,0,0
20.615,1,1,0,1,1,0,0
21.231,1,0,1,1,1,0,0
21.538,1,1,0,1,1,0,0
21.846,1,1,1,0,1,0,0
22.154,1,1,1,1,0,0,0
22.769,0,0,0,0,1,0,0
23.077,0,0,0,1,1,0,0
23.385,0,0,1,1,1,0,0
23.692,0,1,1,1,1,0,0
24.615,1,0,0,0,0,0,0
24.923,1,1,0,0,0,0,0
25.231,1,1,1,0,0,0,0
25.538,1,1,1,1,0,0,0
27.077,0,0,0,0,1,0,0
27.385,0,0,0,1,1,0,0
27.692,0,0,1,1,1,0,0
29.538,1,1,0,1,1,0,0
30.154,1,1,1,0,0,0,0
30.769,0,0,0,1,1,0,0
31.385,0,0,1,1,1,0,0
32.000,1,1,0,0,0,0,0
32.615,1,1,1,0,0,0,0
33.231,1,1,0,1,1,0,0
33.846,1,0,1,0,1,0,0
34.462,1,1,0,1,1,0,0
35.077,1,1,1,0,1,0,0
35.692,1,1,1,1,0,0,0
36.308,1,1,1,0,1,0,0
36.923,1,1,0,1,1,0,0
37.538,1,0,1,1,1,0,0
38.154,1,1,1,0,1,0,0
38.769,1,1,0,1,1,0,0
39.385,1,1,1,1,0,0,0
40.000,1,0,1,1,1,0,0
40.615,1,1,1,1,0,0,0
41.231,0,1,1,1,1,0,0
41.538,1,0,0,0,0,0,0
41.846,1,1,0,0,0,0,0
42.154,1,1,1,0,0,0,0
42.462,1,1,1,1,0,0,0
42.769,0,0,0,0,1,0,0
43.077,0,0,0,1,1,0,0
43.385,0,0,1,1,1,0,0
43.692,0,1,1,1,1,0,0
44.000,1,0,0,0,0,0,0
44.308,1,1,0,0,0,0,0
44.615,1,1,1,0,0,0,0
44.923,1,1,1,1,0,0,0
45.231,0,0,0,0,1,0,0
45.538,0,0,0,1,1,0,0
45.846,0,0,1,1,1,0,0
46.154,0,1,1,1,1,0,0
46.462,1,0,0,0,0,0,0
46.769,1,1,0,0,0,0,0
47.077,1,1,1,0,0,0,0
47.385,1,1,1,1,0,0,0
47.692,0,0,0,0,1,0,0
48.000,0,0,0,1,1,0,0
49.231,1,1,1,0,1,0,0
49.538,1,1,0,1,1,0,0
49.846,1,1,1,0,1,0,0
50.154,1,1,0,1,1,0,0
50.462,1,1,1,0,1,0,0
50.769,1,1,0,1,1,0,0
51.077,1,1,1,0,1,0,0
51.385,1,1,0,1,1,0,0
51.692,1,0,1,1,1,0,0
52.000,1,1,0,1,1,0,0
52.308,1,0,1,1,1,0,0
52.615,1,1,0,1,1,0,0
52.923,1,0,1,1,1,0,0
53.231,1,1,0,1,1,0,0
53.846,1,0,1,0,1,0,0
54.462,0,1,0,1,0,0,0
55.077,1,0,1,0,1,0,0
55.692,0,1,0,1,0,0,0
56.308,1,0,1,0,1,0,0
56.923,0,1,0,1,0,0,0
57.538,1,0,1,0,1,0,0
58.154,0,1,0,1,0,0,0
58.769,1,1,0,1,1,0,0
59.385,0,0,1,0,0,0,0
59.692,0,1,1,1,0,0,0
60.308,1,0,0,0,1,0,0
60.923,0,1,0,1,0,0,0
61.538,1,0,1,0,1,0,0
62.154,1,1,0,1,1,0,0
62.769,1,1,1,0,0,0,0
63.077,0,0,0,1,1,0,0
64.000,1,1,1,0,1,0,0
