time,lane1,lane2,lane3,lane4,lane5,lane6,lane7
0.000,1,0,1,0,1,0,0
1.600,0,1,0,1,0,0,0
3.200,1,0,1,0,1,0,0
4.800,0,1,0,1,0,0,0
6.000,1,1,1,0,1,0,0
7.200,1,1,0,1,1,0,0
8.800,1,0,1,1,1,0,0
10.400,1,1,0,1,1,0,0
12.800,1,1,1,0,1,0,0
13.600,1,1,0,1,1,0,0
14.400,1,1,1,0,1,0,0
15.200,1,1,0,1,1,0,0
16.000,1,0,1,0,1,0,0
16.800,0,1,0,1,0,0,0
17.600,1,0,1,0,1,0,0
18.000,0,1,0,1,0,0,0
18.400,1,0,1,0,1,0,0
18.800,0,1,0,1,0,0,0
19.200,0,0,1,0,0,0,0
19.600,0,1,0,0,0,0,0
20.000,0,0,0,1,0,0,0
20.400,0,0,1,0,0,0,0
20.800,0,0,0,0,0,1,0
21.200,0,1,0,1,0,0,0
21.600,1,0,1,0,1,0,0
22.000,0,1,0,1,0,0,0
22.400,1,0,1,0,1,0,0
22.800,1,1,0,1,1,0,0
23.200,1,1,1,0,0,0,0
23.600,0,0,0,1,1,0,0
24.000,0,0,1,1,1,0,0
24.400,1,1,0,0,0,0,0
24.800,1,1,1,0,0,0,0
25.200,0,0,0,1,1,0,0
25.600,1,1,1,0,0,0,0
26.000,0,0,0,1,1,0,0
26.400,1,1,1,0,0,0,0
26.800,0,0,0,1,1,0,0
27.200,1,1,1,0,0,0,0
27.600,0,0,0,1,1,0,0
28.000,0,0,1,1,1,0,0
28.400,1,1,0,0,0,0,0
28.800,1,1,1,0,1,0,0
29.600,1,1,0,1,1,0,0
30.000,0,1,1,1,0,0,0
30.400,1,0,0,0,1,0,0
30.800,0,1,0,1,0,0,0
31.600,1,0,1,0,1,0,0
32.400,0,1,0,1,0,0,0
33.200,1,0,1,0,1,0,0
34.000,0,1,0,1,0,0,0
34.800,1,1,1,0,1,0,0
35.600,1,1,0,1,1,0,0
36.400,1,0,1,1,1,0,0
37.200,1,1,0,1,1,0,0
38.000,1,1,1,0,1,0,0
38.800,1,1,1,1,0,0,0
39.600,0,0,0,0,1,0,0
40.400,0,0,0,1,1,0,0
41.200,0,0,1,1,1,0,0
42.000,0,1,1,1,1,0,0
42.800,1,0,0,0,0,0,0
43.600,1,1,0,0,0,0,0
44.400,1,1,1,0,0,0,0
45.200,1,1,1,1,0,0,0
46.000,0,0,0,0,1,0,0
46.800,0,0,0,1,1,0,0
47.600,0,0,1,1,1,0,0
48.400,1,1,0,0,0,0,0
49.200,1,1,1,0,0,0,0
50.000,0,0,0,1,1,0,0
51.200,0,0,1,0,0,0,0
52.000,0,1,0,1,0,0,0
52.800,1,0,1,0,1,0,0
53.600,0,1,0,1,0,0,0
54.400,0,0,1,0,0,0,0
55.200,0,1,0,1,0,0,0
56.000,1,0,1,0,1,0,0
56.800,0,1,0,1,0,0,0
57.600,0,0,1,0,0,0,0
58.800,0,1,0,1,0,0,0
59.600,1,0,1,0,1,0,0
60.400,0,1,0,1,0,0,0
61.200,1,0,1,0,1,0,0
62.000,0,1,1,1,0,0,0
64.000,1,0,0,0,1,0,0
64.800,0,1,0,1,0,0,0
65.200,1,1,0,1,1,0,0
66.000,1,1,1,0,0,0,0
66.400,1,1,1,1,0,0,0
67.200,0,0,0,0,1,0,0
67.600,0,0,0,1,1,0,0
68.000,0,0,1,1,1,0,0
68.800,1,1,0,0,0,0,0
69.200,1,1,1,0,0,0,0
70.400,0,0,0,1,1,0,0
70.800,0,0,1,1,1,0,0
71.600,1,1,0,0,0,0,0
72.000,1,1,1,0,0,0,0
72.400,0,0,0,1,1,0,0
72.800,0,0,1,1,1,0,0
73.200,1,1,0,0,0,0,0
73.600,1,1,1,0,0,0,0
74.000,0,0,0,1,1,0,0
74.400,0,0,1,1,1,0,0
76.800,1,1,0,1,1,0,0
77.200,1,0,1,1,1,0,0
77.600,1,1,0,1,1,0,0
78.000,1,0,1,1,1,0,0
78.400,1,1,0,1,1,0,0
78.800,1,0,1,1,1,0,0
79.200,1,1,0,1,1,0,0
79.600,1,1,1,0,1,0,0
80.000,1,1,0,1,1,0,0
80.400,1,1,1,0,1,0,0
80.800,1,1,0,1,1,0,0
81.200,1,1,1,0,1,0,0
81.600,1,1,0,1,1,0,0
84.000,1,1,1,0,1,0,0
84.400,1,1,1,1,0,0,0
84.800,1,1,1,0,1,0,0
85.200,1,1,1,1,0,0,0
85.600,1,1,1,0,1,0,0
89.600,0,0,0,1,1,0,0
90.400,0,0,1,0,0,0,0
90.800,0,1,0,1,0,0,0
